TRI_FACILITY_ID,REGION,FAC_LONGITUDE,FAC_LATITUDE
17922NVPRCPOBOX,3,760500,403614
46808FRTWY344CN,5,851050,410632
80403BLDRT4403T,8,1051052,394701
74107SHLND3535W,6,960204,360803
22031MCLFR9601C,3,771640,385049
4672WNBLMT21REJ,5,0,0
98930DKFRZAVEAX,10,1195310,461515
46803NSHKW2808A,5,850343,410304
45872NRBLT587WB,5,834106,411057
60624DWMNF3237W,5,874222,415301
46383KPPRS2852R,5,870039,412641
47006HLLRMWPEAR,5,851330,391758
60638WTCCR6200W,5,874635,414805
70058WTCCR1805F,6,900124,295440
52405HGHWY616DA,7,914056,415837
66048KWVLL1801S,7,952020,395930
73114FFCRP222WM,6,975100,355900
07029CPTLCSANFO,2,730832,404443
35210SCFND2451F,4,864200,333230
49085HFFMN229KE,5,862950,420429
47170DVMRCJUNCT,5,853932,384120
24022HCKRY1604S,3,795301,371805
47201HRDGG2405N,5,855700,390815
29841BPLC0SWEET,4,815715,333718
40383YMRCN105KU,4,0,0
66115KNSSC3140D,7,943639,390836
49097KPCNC145NL,5,,
55318KLLST1000L,5,933600,444945
24540DNRVRCORNE,3,792530,363600
46567DNCRPPOBOX,5,854510,412516
07304LPHMT600RO,2,740536,404258
60632LPHMT4404S,5,874400,414830
06241WLLMPRT101,1,715300,415000
4933WMDDLV19PAT,5,0,0
99021KSRLME211H,10,1172154,474637
54303MBLLG410PR,5,880050,433125
47359SHLLR623WM,5,851710,403308
10309MBLLP4101A,2,741412,403232
80125WSTLN8382W,8,1050237,393335
47374MNVLL814RI,5,845509,395007
80701HMSBY20870,8,1034520,401506
38834DNCRPFULTO,4,883129,345428
27713CRRSR2810M,4,785355,355444
4737WMDSNK16RIC,5,,
54611WSCNSROUTE,5,905525,442335
44667KSRST2308S,5,814705,404948
47959HPMNN6929N,5,865230,405130
02865JCSRV13BLA,1,712658,415445
73401TLSRF2300P,6,0,0
18201BRGLCHUMBO,3,760230,405545
27526RYCHM201DI,4,784824,353655
98230JSTSN1090Y,10,1224000,485960
47374WYNDR1590N,5,845514,395108
92029JRMFG1189I,9,1171356,322443
56057WNCNC225SC,5,934303,442312
84120WNDRD4400W,8,1120052,404053
